,name,company,year,Price,kms_driven,fuel_type,transmission
32,Audi Q5,Audi,2011,1190000,175900,Diesel,Automatic
33,Honda City,Honda,2018,930000,14500,Petrol,Manual
34,Tata Tigor,Tata,2018,525000,15000,Petrol,Manual
35,Audi A6,Audi,2013,1735000,50000,Diesel,Automatic
36,Mercedes-Benz New,Mercedes-Benz,2012,1375000,33800,Diesel,Automatic
37,Skoda Superb,Skoda,2011,450000,130400,Diesel,Automatic
38,Toyota Corolla,Toyota,2016,900000,50000,Petrol,Automatic
39,Toyota Innova,Toyota,2015,1300000,80000,Diesel,Manual
40,Jeep Compass,Jeep,2019,1400000,10000,Petrol,Manual
41,Mercedes-Benz E-Class,Mercedes-Benz,2010,850000,119000,Petrol,Automatic
42,Hyundai i10,Hyundai,2014,229999,60000,Petrol,Manual
43,BMW 3,BMW,2013,1550000,75800,Diesel,Automatic
44,Audi Q7,Audi,2009,1250000,78000,Diesel,Automatic
45,Hyundai Elantra,Hyundai,2012,625000,40000,Diesel,Manual
46,Mahindra Scorpio,Mahindra,2014,1050000,50000,Diesel,Manual
47,Honda City,Honda,2014,560000,74000,Diesel,Manual
48,Maruti Wagon,Maruti,2014,290000,64000,Petrol,Manual
49,Maruti Wagon,Maruti,2012,275000,60000,Petrol,Manual
50,Mahindra Scorpio,Mahindra,2009,411000,120000,Diesel,Manual
51,Hyundai Santro,Hyundai,2009,150000,79000,Petrol,Manual
52,Hyundai Grand,Hyundai,2019,500000,15000,Petrol,Manual
53,Maruti Alto,Maruti,2006,100000,80000,Petrol,Manual
54,Maruti Swift,Maruti,2017,725000,18500,Diesel,Manual
55,Maruti Eeco,Maruti,2018,401000,10200,Petrol,Manual
56,Hyundai i20,Hyundai,2018,750000,29000,Diesel,Manual
57,Maruti Omni,Maruti,2018,310000,28000,Petrol,Manual
58,Maruti Swift,Maruti,2016,665000,46000,Diesel,Manual
59,Hyundai i20,Hyundai,2014,465000,70000,Diesel,Manual
60,Maruti Alto,Maruti,2012,160000,60000,Petrol,Manual
61,Mahindra Jeep,Mahindra,1996,250000,35000,Diesel,Manual
62,Honda City,Honda,2014,675000,90000,Diesel,Manual
63,Maruti Wagon,Maruti,2013,300000,80000,Petrol,Manual
64,Tata Indica,Tata,2005,70000,80000,Diesel,Manual
65,Hyundai EON,Hyundai,2014,240000,73300,Petrol,Manual
66,Toyota Etios,Toyota,2014,525000,92000,Diesel,Manual
67,Maruti Alto,Maruti,2009,151000,66764,Petrol,Manual
68,Maruti Alto,Maruti,2009,140000,100000,Petrol,Manual
69,Chevrolet Tavera,Chevrolet,2010,280000,350000,Diesel,Manual
70,Toyota Corolla,Toyota,2011,350000,230000,Diesel,Manual
71,Mahindra Scorpio,Mahindra,2017,570000,60000,Diesel,Manual
72,Hyundai EON,Hyundai,2018,300000,31000,Petrol,Manual
73,Tata Indigo,Tata,2007,100000,39000,Diesel,Manual
74,Toyota Innova,Toyota,2009,500000,120000,Diesel,Manual
75,Tata Indica,Tata,2014,125000,166000,Diesel,Manual
76,Maruti Swift,Maruti,2006,130000,110000,Petrol,Manual
77,Ford EcoSport,Ford,2017,925000,35000,Diesel,Manual
78,Maruti Ciaz,Maruti,2018,750000,60000,Diesel,Manual
79,Honda Civic,Honda,2007,200000,54000,Petrol,Automatic
80,Hyundai i10,Hyundai,2010,248000,63000,Petrol,Manual
81,Skoda Rapid,Skoda,2014,450000,120000,Diesel,Manual
82,Hyundai Getz,Hyundai,2005,80000,120000,Petrol,Manual
83,Nissan Terrano,Nissan,2014,650000,76000,Petrol,Manual
84,Hyundai Grand,Hyundai,2015,450000,80000,Diesel,Manual
85,Hyundai Elite,Hyundai,2019,650000,25000,Diesel,Manual
86,Honda Amaze,Honda,2016,495000,11958,Petrol,Manual
87,Honda Brio,Honda,2015,371000,20000,Petrol,Manual
88,Hyundai Creta,Hyundai,2017,1025000,9000,Petrol,Manual
89,Mercedes-Benz S-Class,Mercedes-Benz,2017,8150000,6500,Diesel,Automatic
90,Mahindra XUV500,Mahindra,2015,750000,70000,Diesel,Manual
91,Renault Duster,Renault,2013,600000,120000,Diesel,Manual
92,Hyundai Santro,Hyundai,2007,80000,58000,Petrol,Manual
93,Mahindra Bolero,Mahindra,2013,325000,62200,Diesel,Manual
94,Audi A6,Audi,2014,1470000,34000,Diesel,Automatic
95,Fiat Avventura,Fiat,2015,350000,53000,Diesel,Manual
96,Audi A8,Audi,2013,2800000,49000,Diesel,Automatic
97,Datsun RediGO,Datsun,2017,210000,15000,Petrol,Manual
98,Volkswagen Jetta,Volkswagen,2013,450000,50000,Petrol,Manual
99,Audi A4,Audi,2013,1150000,53000,Diesel,Automatic
100,Honda Civic,Honda,2009,210000,63500,Petrol,Automatic
101,Mercedes-Benz E-Class,Mercedes-Benz,2018,4500000,9800,Petrol,Automatic
102,BMW X1,BMW,2017,2750000,13000,Diesel,Automatic
103,Volvo V40,Volvo,2018,1975000,21000,Diesel,Automatic
104,Maruti SX4,Maruti,2008,175000,29173,Petrol,Manual
105,BMW 7,BMW,2012,2500000,48000,Diesel,Automatic
106,Mahindra Bolero,Mahindra,2017,628000,120000,Diesel,Manual
107,Hyundai Sonata,Hyundai,2010,600000,100000,Diesel,Manual
108,Nissan Micra,Nissan,2017,399000,30000,Petrol,Manual
109,Mahindra Xylo,Mahindra,2018,750000,87000,Diesel,Manual
110,Hyundai Elite,Hyundai,2019,750000,15000,Petrol,Manual
111,Renault KWID,Renault,2017,315000,16000,Petrol,Manual
112,Mahindra Xylo,Mahindra,2012,600000,60000,Diesel,Manual
113,Maruti Wagon,Maruti,2010,100000,60000,Petrol,Manual
114,Maruti SX4,Maruti,2011,250000,110000,Petrol,Manual
115,Renault KWID,Renault,2017,350000,25000,Petrol,Manual
116,Hyundai Creta,Hyundai,2016,780000,60000,Diesel,Manual
117,Maruti Swift,Maruti,2014,434000,79350,Diesel,Manual
118,Hyundai Verna,Hyundai,2016,690000,80000,Petrol,Automatic
119,Mahindra Scorpio,Mahindra,2014,555000,90000,Diesel,Manual
120,Maruti SX4,Maruti,2007,120000,90000,Petrol,Manual
121,Maruti Ertiga,Maruti,2014,500000,120000,Diesel,Manual
122,Chevrolet Beat,Chevrolet,2013,165000,60000,Diesel,Manual
123,Maruti Zen,Maruti,2004,95000,50000,Petrol,Manual
124,Maruti Baleno,Maruti,2018,550000,20000,Petrol,Manual
125,Maruti Swift,Maruti,2007,100000,110000,Diesel,Manual
126,Tata Nano,Tata,2012,100000,50000,Petrol,Manual
127,Toyota Innova,Toyota,2012,500000,100000,Diesel,Manual
128,Maruti Ertiga,Maruti,2016,800000,70000,Diesel,Manual
129,Hyundai Creta,Hyundai,2016,840000,70000,Diesel,Manual
130,Honda Amaze,Honda,2016,490000,50000,Petrol,Manual
131,Tata Indica,Tata,2010,125000,81000,Diesel,Manual
132,Chevrolet Tavera,Chevrolet,2012,400000,120000,Diesel,Manual
133,Chevrolet Cruze,Chevrolet,2015,1000000,3600,Diesel,Manual
134,Ford Figo,Ford,2015,530000,14272,Petrol,Manual
135,Ford EcoSport,Ford,2017,840000,49213,Diesel,Manual
136,Hyundai i10,Hyundai,2015,229999,40000,Petrol,Manual
137,Maruti 800,Maruti,1998,40000,40000,Petrol,Manual
138,Chevrolet Spark,Chevrolet,2012,130000,80000,Petrol,Manual
139,Hyundai EON,Hyundai,2015,200000,70000,Petrol,Manual
140,Tata Indica,Tata,2011,120000,70000,Diesel,Manual
141,Hyundai Santro,Hyundai,2003,75000,57000,Petrol,Manual
142,Tata Bolt,Tata,2016,250000,120000,Diesel,Manual
143,Maruti 800,Maruti,2005,100000,30000,Petrol,Manual
144,Hyundai EON,Hyundai,2013,280000,3240,Petrol,Manual
145,Hyundai i20,Hyundai,2015,540000,5000,Petrol,Manual
146,Hyundai i20,Hyundai,2018,700000,10000,Petrol,Manual
147,Maruti Ciaz,Maruti,2015,525000,100000,Diesel,Manual
148,Hyundai i20,Hyundai,2016,430000,80000,Diesel,Manual
149,Hyundai Santro,Hyundai,2002,65000,70000,Petrol,Manual
150,Maruti Vitara,Maruti,2018,800000,35000,Diesel,Manual
151,Hyundai Santro,Hyundai,2007,75000,114000,Petrol,Manual
152,Hyundai Getz,Hyundai,2008,210000,53772,Petrol,Manual
153,Mahindra Quanto,Mahindra,2012,195000,140000,Diesel,Manual
154,Chevrolet Tavera,Chevrolet,2015,400000,120000,Diesel,Manual
155,Hyundai EON,Hyundai,2012,170000,60000,Petrol,Manual
156,Renault KWID,Renault,2016,225000,25000,Petrol,Manual
157,Maruti Wagon,Maruti,2014,210000,90000,LPG,Manual
158,Maruti Wagon,Maruti,2020,240000,120000,Petrol,Manual
159,Chevrolet Enjoy,Chevrolet,2015,300000,175000,Diesel,Manual
160,Chevrolet Spark,Chevrolet,2011,99000,100000,Petrol,Manual
161,Honda City,Honda,2014,620000,36000,Petrol,Manual
162,Honda Amaze,Honda,2013,500000,30000,Diesel,Manual
163,Jaguar XJ,Jaguar,2010,2550000,40000,Petrol,Automatic
164,Honda Brio,Honda,2013,260000,70000,Petrol,Manual
165,Maruti Swift,Maruti,2017,550000,60000,Petrol,Manual
166,Tata Indigo,Tata,2011,150000,155500,Diesel,Manual
167,Hyundai i10,Hyundai,2011,350000,50000,Petrol,Automatic
168,Chevrolet Beat,Chevrolet,2016,320000,40000,Petrol,Manual
169,Maruti Swift,Maruti,2015,400000,100000,Diesel,Manual
170,Maruti Alto,Maruti,2012,175000,80000,Petrol,Manual
171,Chevrolet Beat,Chevrolet,2011,120000,90000,Petrol,Manual
172,Renault Duster,Renault,2013,320000,90000,Diesel,Manual
173,Hyundai Santro,Hyundai,2006,70000,110000,Petrol,Manual
174,Maruti Swift,Maruti,2019,810000,15000,Petrol,Manual
175,Maruti 800,Maruti,2007,95000,100000,Petrol,Manual
176,Maruti Alto,Maruti,2020,282000,40000,CNG,Manual
177,Maruti 800,Maruti,2004,80000,60000,Petrol,Manual
178,Tata Nano,Tata,2013,72000,25000,Petrol,Manual
179,Hyundai i20,Hyundai,2016,600000,25000,Petrol,Manual
180,Skoda Rapid,Skoda,2015,640000,23000,Petrol,Manual
181,Maruti Alto,Maruti,2018,380000,22155,Petrol,Manual
182,Maruti Ciaz,Maruti,2018,650000,70000,Petrol,Manual
183,Maruti Alto,Maruti,2009,150000,60000,Petrol,Manual
184,Hyundai i20,Hyundai,2009,280000,110000,Petrol,Manual
185,Tata Nexon,Tata,2018,430000,30000,Petrol,Manual
186,Mahindra Bolero,Mahindra,2019,800000,15000,Diesel,Manual
187,Maruti Zen,Maruti,2003,75000,100000,Diesel,Manual
188,Volkswagen Vento,Volkswagen,2016,650000,70000,Diesel,Automatic
189,Maruti Eeco,Maruti,2017,390000,24000,Petrol,Manual
190,Honda City,Honda,2005,100000,120000,Petrol,Manual
191,Mercedes-Benz New,Mercedes-Benz,2013,1500000,35000,Diesel,Automatic
192,Maruti SX4,Maruti,2007,175000,78380,Petrol,Manual
193,Renault Duster,Renault,2012,434999,110000,Diesel,Manual
194,Ford Figo,Ford,2010,170000,90000,Diesel,Manual
195,Ford Figo,Ford,2011,190000,90000,Diesel,Manual
196,Maruti Swift,Maruti,2009,250000,150000,Diesel,Manual
197,Mahindra Xylo,Mahindra,2009,229999,230000,Diesel,Manual
198,Maruti Esteem,Maruti,2006,140000,70000,Petrol,Manual
199,Maruti Swift,Maruti,2017,600000,80362,Diesel,Manual
200,Hyundai i20,Hyundai,2012,280000,110000,Petrol,Manual
201,Chevrolet Beat,Chevrolet,2012,150000,60000,Diesel,Manual
202,Chevrolet Cruze,Chevrolet,2015,650000,50000,Diesel,Automatic
203,Nissan Micra,Nissan,2014,210000,40000,Petrol,Manual
204,BMW 5,BMW,2017,2900000,40000,Diesel,Automatic
205,Chevrolet Enjoy,Chevrolet,2013,425000,20000,Diesel,Manual
206,Hyundai EON,Hyundai,2014,265000,55000,Petrol,Manual
207,Fiat Linea,Fiat,2018,890000,1136,Petrol,Manual
208,Renault Scala,Renault,2013,365000,55000,Petrol,Manual
209,Ford Figo,Ford,2014,350000,43000,Petrol,Manual
210,Maruti Ciaz,Maruti,2016,685000,60000,Diesel,Manual
211,Skoda Rapid,Skoda,2018,940000,2650,Diesel,Manual
212,Mahindra XUV500,Mahindra,2017,1000000,40000,Diesel,Manual
213,Mahindra XUV300,Mahindra,2019,1150000,15000,Petrol,Manual
214,Maruti Ertiga,Maruti,2016,450000,115962,Diesel,Manual
215,Nissan Terrano,Nissan,2015,590000,65000,Diesel,Manual
216,Maruti S-Cross,Maruti,2017,800000,40000,Diesel,Manual
217,Hyundai i20,Hyundai,2012,385000,58000,Diesel,Manual
218,Mercedes-Benz New,Mercedes-Benz,2013,2000000,15000,Diesel,Automatic
219,Hyundai EON,Hyundai,2012,235000,54000,Petrol,Manual
220,Volkswagen Ameo,Volkswagen,2017,640000,56000,Diesel,Manual
221,Maruti Alto,Maruti,2006,52000,120000,Petrol,Manual
222,Maruti Omni,Maruti,2009,80000,90000,LPG,Manual
223,Maruti Alto,Maruti,2012,140000,70000,Petrol,Manual
224,Hyundai Verna,Hyundai,2008,120000,90000,Petrol,Manual
225,Mahindra Renault,Mahindra,2008,89999,213000,Diesel,Manual
226,Chevrolet Optra,Chevrolet,2012,180000,120000,Diesel,Manual
227,Mahindra Scorpio,Mahindra,2017,1500000,20000,Diesel,Manual
228,Hyundai i20,Hyundai,2017,700000,10000,Petrol,Manual
229,Maruti SX4,Maruti,2012,285000,80000,Diesel,Manual
230,Hyundai Grand,Hyundai,2015,390000,90000,Petrol,Manual
231,Maruti Alto,Maruti,2008,125000,80000,Petrol,Manual
232,Maruti SX4,Maruti,2008,225000,60000,Petrol,Manual
233,Hyundai i10,Hyundai,2011,175000,139000,Petrol,Manual
234,Toyota Innova,Toyota,2011,1075000,160000,Diesel,Manual
235,Honda Mobilio,Honda,2014,300000,150000,Diesel,Manual
236,Toyota Innova,Toyota,2010,700000,163000,Diesel,Manual
237,Tata Indica,Tata,2009,90000,120000,Diesel,Manual
238,Tata Indica,Tata,2011,120000,120000,Diesel,Manual
239,Chevrolet Beat,Chevrolet,2012,220000,100000,Diesel,Manual
240,Tata Zest,Tata,2015,300000,140000,Diesel,Manual
241,Skoda Fabia,Skoda,2010,180000,87000,Diesel,Manual
242,Maruti 800,Maruti,2013,170000,70000,Petrol,Manual
243,Ford Figo,Ford,2015,300000,50000,Petrol,Manual
244,Toyota Innova,Toyota,2014,1050000,70000,Diesel,Manual
245,Honda Mobilio,Honda,2014,300000,150000,Diesel,Manual
246,Hyundai Grand,Hyundai,2018,465000,25000,Diesel,Manual
247,Chevrolet Beat,Chevrolet,2011,130000,80000,Diesel,Manual
248,Datsun GO,Datsun,2018,434999,10000,Petrol,Manual
249,Hyundai Grand,Hyundai,2018,500000,32000,Petrol,Manual
250,Maruti Omni,Maruti,2018,200000,10000,Petrol,Manual
251,Maruti Baleno,Maruti,2017,625000,52000,Petrol,Manual
252,Ford Fiesta,Ford,2006,110000,120000,Diesel,Manual
253,Hyundai Elite,Hyundai,2019,800000,11240,Petrol,Manual
254,Hyundai Grand,Hyundai,2017,490000,66000,Diesel,Manual
255,Maruti Ertiga,Maruti,2017,880000,64000,Diesel,Manual
256,Hyundai Santro,Hyundai,2013,290000,49000,Petrol,Manual
257,Tata Sumo,Tata,2006,115999,100000,Diesel,Manual
258,Renault KWID,Renault,2018,360000,26500,Petrol,Manual
259,Maruti 800,Maruti,2002,65000,100000,Petrol,Manual
260,Maruti Vitara,Maruti,2017,685000,72000,Diesel,Manual
261,Honda Jazz,Honda,2009,300000,50000,Petrol,Manual
262,Hyundai i20,Hyundai,2017,680000,44000,Diesel,Manual
263,Maruti Ertiga,Maruti,2017,1000000,60000,Diesel,Manual
264,Tata Sumo,Tata,2002,100000,120000,Diesel,Manual
265,Mahindra Xylo,Mahindra,2010,160000,130000,Diesel,Manual
266,Maruti Swift,Maruti,2017,450000,70000,Diesel,Manual
267,Maruti Ertiga,Maruti,2014,600000,20000,Petrol,Manual
268,Hyundai i20,Hyundai,2009,180000,60000,Diesel,Manual
269,Maruti Alto,Maruti,2007,100000,195000,Petrol,Manual
270,Maruti Alto,Maruti,2010,120000,90000,Petrol,Manual
271,Hyundai Getz,Hyundai,2006,130000,80000,Petrol,Manual
272,Maruti Wagon,Maruti,2011,160000,155000,Petrol,Manual
273,Mahindra Bolero,Mahindra,2019,860000,35000,Diesel,Manual
274,Hyundai i20,Hyundai,2018,650000,20000,Petrol,Manual
275,Maruti Wagon,Maruti,2010,100000,80000,Petrol,Manual
276,Maruti Alto,Maruti,2017,282000,20000,Petrol,Manual
277,Hyundai i20,Hyundai,2009,300000,50000,Petrol,Manual
278,Hyundai i20,Hyundai,2010,270000,110000,Petrol,Manual
279,Hyundai Verna,Hyundai,2013,550000,29000,Diesel,Manual
280,Mahindra Xylo,Mahindra,2013,450000,120000,Diesel,Manual
281,Mahindra Bolero,Mahindra,2011,430000,70000,Diesel,Manual
282,Maruti Ertiga,Maruti,2013,350000,40000,Petrol,Manual
283,Honda Brio,Honda,2017,350000,20000,Petrol,Manual
284,Toyota Etios,Toyota,2013,229999,50000,Petrol,Manual
285,Maruti Alto,Maruti,2013,110000,50000,Petrol,Manual
286,Maruti Swift,Maruti,2012,395000,49000,Petrol,Manual
287,Mahindra Scorpio,Mahindra,2011,650000,70000,Diesel,Automatic
288,Mahindra Bolero,Mahindra,2011,350000,90000,Diesel,Manual
289,Mahindra XUV500,Mahindra,2020,1400000,25000,Diesel,Manual
290,Tata Tiago,Tata,2018,360000,4000,Petrol,Manual
291,Mahindra Marazzo,Mahindra,2018,1300000,10000,Diesel,Manual
292,Renault Duster,Renault,2015,800000,15000,Diesel,Manual
293,Hyundai EON,Hyundai,2018,229999,30000,Petrol,Manual
294,Maruti Wagon,Maruti,2014,315000,41000,Petrol,Manual
295,Chevrolet Spark,Chevrolet,2012,125000,28000,Petrol,Manual
296,Maruti Baleno,Maruti,2019,700000,16000,Petrol,Manual
297,Hyundai EON,Hyundai,2015,160000,70000,Petrol,Manual
298,Ford Figo,Ford,2017,530000,10832,Petrol,Manual
299,Ford Figo,Ford,2018,624000,14681,Diesel,Manual
300,Hyundai i10,Hyundai,2009,250000,50000,Petrol,Manual
301,Mahindra Bolero,Mahindra,2016,585000,51000,Diesel,Manual
302,Hyundai Verna,Hyundai,2015,500000,25000,Petrol,Manual
303,Chevrolet Sail,Chevrolet,2014,350000,30000,Petrol,Manual
304,Honda City,Honda,2014,495000,80000,Diesel,Manual
305,Hyundai Grand,Hyundai,2017,500000,50000,Petrol,Manual
306,Mahindra Bolero,Mahindra,2015,430000,200000,Diesel,Manual
307,Hyundai Grand,Hyundai,2013,345000,44000,Petrol,Manual
308,Maruti Baleno,Maruti,2015,500000,10000,Petrol,Manual
309,Tata Tiago,Tata,2019,425000,19600,Petrol,Manual
310,Maruti Wagon,Maruti,2005,80000,40000,Petrol,Manual
311,Chevrolet Beat,Chevrolet,2011,106000,50000,Diesel,Manual
312,Maruti A-Star,Maruti,2009,180000,46730,Petrol,Manual
313,Datsun GO,Datsun,2015,250000,40000,Petrol,Manual
314,Skoda Yeti,Skoda,2011,350000,80000,Diesel,Manual
315,Maruti Zen,Maruti,2002,60000,80000,Petrol,Manual
316,Hyundai Verna,Hyundai,2018,900000,24000,Diesel,Manual
317,Ford Aspire,Ford,2017,700000,21170,Diesel,Manual
318,BMW 3,BMW,2013,2000000,167223,Diesel,Automatic
319,Maruti Ertiga,Maruti,2017,1000000,40000,Diesel,Manual
320,BMW X1,BMW,2011,1375000,60000,Diesel,Automatic
321,Toyota Innova,Toyota,2016,1800000,141440,Diesel,Manual
322,Chevrolet Tavera,Chevrolet,2007,160000,120000,Diesel,Manual
323,Mitsubishi Outlander,Mitsubishi,2012,525000,140000,Petrol,Automatic
324,Mahindra XUV500,Mahindra,2012,850000,212814,Diesel,Manual
325,Maruti Baleno,Maruti,2019,800000,30000,Diesel,Manual
326,Ford Figo,Ford,2017,700000,88635,Diesel,Manual
327,Maruti Swift,Maruti,2018,800000,25000,Diesel,Manual
328,Hyundai i20,Hyundai,2017,575000,20000,Petrol,Manual
329,Renault Duster,Renault,2012,350000,110000,Diesel,Manual
330,Maruti Swift,Maruti,2008,250000,120000,Diesel,Manual
331,Ford Endeavour,Ford,2011,600000,149674,Diesel,Manual
332,Mahindra Scorpio,Mahindra,2007,370000,100000,Diesel,Manual
333,Maruti Baleno,Maruti,2006,80000,120000,Petrol,Manual
334,Tata Indica,Tata,2003,50000,120000,Diesel,Manual
335,Hyundai Verna,Hyundai,2018,900000,25000,Diesel,Manual
336,Maruti Wagon,Maruti,2014,300000,35000,Petrol,Manual
337,Tata Indica,Tata,2002,125000,40000,Petrol,Manual
338,Maruti Swift,Maruti,2015,490000,60000,Diesel,Manual
339,Toyota Etios,Toyota,2012,300000,50000,Diesel,Manual
340,Tata Nano,Tata,2013,55000,25000,Petrol,Manual
341,Hyundai Grand,Hyundai,2016,350000,25000,Petrol,Manual
342,Hyundai Grand,Hyundai,2019,755000,8000,Diesel,Manual
343,Maruti Ertiga,Maruti,2017,720000,60000,Diesel,Manual
344,Mahindra Bolero,Mahindra,2006,229999,200000,Diesel,Manual
345,Mahindra Scorpio,Mahindra,2018,1100000,20000,Diesel,Manual
346,Volkswagen Polo,Volkswagen,2013,400000,100000,Petrol,Manual
347,Hyundai Xcent,Hyundai,2015,350000,70000,Diesel,Manual
348,Chevrolet Beat,Chevrolet,2012,159000,68000,Diesel,Manual
349,Maruti Swift,Maruti,2017,550000,38000,Petrol,Manual
350,Maruti Ritz,Maruti,2013,335000,80000,Diesel,Manual
351,Tata Indigo,Tata,2014,185000,72000,CNG,Manual
352,Maruti Eeco,Maruti,2012,229999,75000,CNG,Manual
353,Maruti Estilo,Maruti,2014,225000,43000,Petrol,Manual
354,Maruti Swift,Maruti,2007,250000,120000,Petrol,Manual
355,Tata Zest,Tata,2015,400000,100000,Diesel,Manual
356,Maruti Swift,Maruti,2014,470000,163000,Diesel,Manual
357,Maruti Alto,Maruti,2018,300000,25000,Petrol,Automatic
358,Maruti Alto,Maruti,2011,145000,25000,Petrol,Manual
359,Maruti SX4,Maruti,2007,100000,90000,Petrol,Manual
360,Mahindra Scorpio,Mahindra,2014,500000,70000,Diesel,Manual
361,Hyundai Santro,Hyundai,2010,130000,98000,CNG,Manual
362,Chevrolet Cruze,Chevrolet,2010,240000,81925,Diesel,Manual
363,Ford Figo,Ford,2013,150000,80000,Diesel,Manual
364,Renault KWID,Renault,2017,270000,40000,Petrol,Manual
365,Maruti Swift,Maruti,2014,400000,90000,Diesel,Manual
366,Hyundai EON,Hyundai,2012,200000,46000,Petrol,Manual
367,Mahindra XUV500,Mahindra,2012,550000,80000,Diesel,Manual
368,Renault KWID,Renault,2018,325000,35000,Petrol,Manual
369,Skoda Rapid,Skoda,2017,860000,82080,Diesel,Automatic
370,Mahindra XUV500,Mahindra,2012,600000,200000,Diesel,Manual
371,Chevrolet Spark,Chevrolet,2009,125000,70000,Petrol,Manual
372,Maruti 800,Maruti,2000,60000,40000,Petrol,Manual
373,Chevrolet Tavera,Chevrolet,2010,300000,120000,Diesel,Manual
374,Ford Fiesta,Ford,2007,190000,60000,Petrol,Manual
375,Maruti Ertiga,Maruti,2013,400000,110000,Diesel,Manual
376,Tata Manza,Tata,2011,260000,97000,Diesel,Manual
377,Maruti Swift,Maruti,2017,400000,30000,Petrol,Manual
378,Hyundai i20,Hyundai,2010,250000,40000,Petrol,Manual
379,Hyundai Grand,Hyundai,2019,600000,10000,Petrol,Manual
380,Maruti Zen,Maruti,2010,175000,52047,Petrol,Manual
381,Toyota Innova,Toyota,2011,450000,200000,Diesel,Manual
382,Tata Tiago,Tata,2019,350000,15000,Petrol,Automatic
383,Maruti Vitara,Maruti,2018,800000,50000,Diesel,Manual
384,Maruti Swift,Maruti,2011,250000,70000,Petrol,Manual
385,Maruti Swift,Maruti,2019,600000,10000,Petrol,Manual
386,Maruti Swift,Maruti,2017,600000,90000,Diesel,Manual
387,Maruti Alto,Maruti,2016,130000,40000,Petrol,Manual
388,Maruti Wagon,Maruti,2006,90000,62009,Petrol,Manual
389,Hyundai i20,Hyundai,2017,595000,33100,Petrol,Manual
390,Hyundai EON,Hyundai,2014,190000,40000,Petrol,Manual
391,Hyundai Santro,Hyundai,1999,50000,120000,Petrol,Manual
392,Maruti Wagon,Maruti,2007,95000,80000,Petrol,Manual
393,Tata Safari,Tata,2016,1000000,70000,Diesel,Manual
394,Mahindra Scorpio,Mahindra,2006,220000,220000,Petrol,Manual
395,Mahindra Bolero,Mahindra,2010,400000,50000,Diesel,Manual
396,Datsun GO,Datsun,2015,315000,45000,Petrol,Manual
397,Toyota Fortuner,Toyota,2014,1000000,110000,Diesel,Manual
398,Ford Ecosport,Ford,2014,500000,49000,Diesel,Manual
399,Mahindra XUV500,Mahindra,2018,1600000,35000,Diesel,Automatic
400,Mahindra Supro,Mahindra,2017,500000,160000,Diesel,Manual
401,Maruti Alto,Maruti,2007,70000,180000,Petrol,Manual
402,Maruti 800,Maruti,2007,105000,60000,Petrol,Manual
403,Ford Endeavour,Ford,2008,400000,110000,Diesel,Manual
404,Maruti Wagon,Maruti,2004,80000,60000,Petrol,Manual
405,Maruti Alto,Maruti,2016,300000,30000,Petrol,Manual
406,Mahindra KUV,Mahindra,2017,409999,40000,Diesel,Manual
407,Maruti Swift,Maruti,2009,250000,70000,Petrol,Manual
408,Tata New,Tata,2010,250000,120000,Diesel,Manual
